	id	ids	emo_1	conv_1	emo_2	conv_2	emo_3	conv_3	conv_4	conv_5
38	dagstuhl-193	1,3	1	2	1	2	1	2	2	2
39	dagstuhl-193	2,3	1	2	1	2	1	2	2	2
40	dagstuhl-195	0,1	0	1	0	1	0	1	1	1
41	dagstuhl-195	0,2	2	2	2	2	2	1	2	2
42	dagstuhl-195	1,3	1	2	1	2	1	2	2	2
43	dagstuhl-195	2,3	1	1	1	1	1	1	1	1
44	dagstuhl-197	0,1	2	2	2	2	2	2	2	2
45	dagstuhl-197	0,2	2	2	2	2	2	2	2	2
46	dagstuhl-197	1,3	1	2	1	2	1	2	2	2
47	dagstuhl-197	2,3	1	1	1	1	1	1	1	1
48	dagstuhl-198	0,1	2	1	2	1	2	1	1	1
49	dagstuhl-198	0,2	2	2	2	1	2	1	1	1
50	dagstuhl-198	1,3	1	2	1	2	1	2	2	2
51	dagstuhl-198	2,3	1	1	1	1	1	1	1	1
52	dagstuhl-202	0,2	2	2	2	2	2	2	2	2
53	dagstuhl-202	1,0	2	2	2	2	2	2	2	2
54	dagstuhl-202	1,3	1	2	1	2	1	2	2	2
55	dagstuhl-202	2,3	1	1	1	1	1	1	1	1
56	dagstuhl-203	0,1	2	1	2	1	2	1	1	1
57	dagstuhl-203	0,2	2	2	2	2	2	2	2	2
58	dagstuhl-203	1,3	1	1	1	1	1	1	1	1
59	dagstuhl-203	2,3	1	1	1	1	1	1	1	1
60	dagstuhl-204	0,1	1	1	1	1	1	1	1	1
61	dagstuhl-204	0,2	2	1	2	1	2	1	1	1
62	dagstuhl-204	1,3	1	2	1	2	1	2	2	2
63	dagstuhl-204	2,3	1	1	1	2	1	1	1	1
64	dagstuhl-205	0,1	1	1	1	1	1	1	1	1
65	dagstuhl-205	0,2	2	2	2	2	2	2	2	2
66	dagstuhl-205	1,3	0	1	0	1	0	1	1	1
67	dagstuhl-205	2,3	1	1	1	1	1	1	1	1
68	dagstuhl-206	0,1	1	1	1	1	0	1	1	1
69	dagstuhl-206	0,2	2	1	2	1	2	1	1	1
70	dagstuhl-206	1,3	1	1	1	1	1	1	1	1
71	dagstuhl-206	2,3	1	1	1	1	1	1	1	1
72	dagstuhl-216	0,1	1	1	1	1	1	1	1	1
73	dagstuhl-216	0,2	2	1	2	1	2	1	1	1
74	dagstuhl-216	1,3	0	1	0	1	1	1	1	1
75	dagstuhl-216	2,3	1	1	1	1	1	1	1	1
76	dagstuhl-218	0,1	1	1	1	1	1	1	1	1
77	dagstuhl-218	0,2	1	1	1	1	1	1	1	1
78	dagstuhl-218	1,3	2	2	2	2	2	2	2	2
79	dagstuhl-218	2,3	2	2	2	2	2	2	2	2
80	dagstuhl-221	0,1	1	1	1	1	1	1	1	1
81	dagstuhl-221	0,2	1	1	1	1	1	1	1	1
82	dagstuhl-221	1,3	1	2	1	2	1	2	2	2
83	dagstuhl-221	2,3	1	2	1	2	1	2	2	2
84	dagstuhl-223	0,2	2	2	2	2	2	2	2	2
85	dagstuhl-223	1,0	1	1	1	1	1	1	1	1
86	dagstuhl-223	1,3	1	1	1	1	1	1	1	2
87	dagstuhl-223	2,3	1	1	1	1	1	1	1	1
88	dagstuhl-224	0,2	1	2	1	2	1	2	2	2
89	dagstuhl-224	1,0	2	2	2	2	0	2	2	2
90	dagstuhl-224	1,3	0	2	0	2	0	2	1	2
91	dagstuhl-224	2,3	0	1	0	1	0	1	1	1
92	dagstuhl-225	0,1	1	2	1	2	1	2	2	2
93	dagstuhl-225	0,2	1	1	1	2	2	2	2	2
94	dagstuhl-225	1,3	0	1	0	1	0	1	1	1
95	dagstuhl-225	2,3	1	1	1	0	1	1	1	1
96	dagstuhl-226	0,1	1	1	1	1	1	1	1	1
97	dagstuhl-226	0,2	1	0	1	1	1	0	1	1
98	dagstuhl-226	1,3	0	2	0	2	0	2	2	2
99	dagstuhl-226	2,3	1	1	1	1	1	1	1	1
100	dagstuhl-227	0,1	1	1	1	1	1	1	1	1
101	dagstuhl-227	0,2	1	1	1	1	1	2	1	1
102	dagstuhl-227	1,3	0	2	0	2	0	2	2	2
103	dagstuhl-227	2,3	0	2	0	2	0	2	2	2
104	dagstuhl-23	0,2	2	2	2	2	2	2	2	2
105	dagstuhl-23	1,0	2	1	2	1	2	1	1	1
106	dagstuhl-23	1,3	0	1	0	1	0	1	1	1
107	dagstuhl-23	2,3	1	1	1	1	1	1	1	1
108	dagstuhl-230	0,2	2	1	2	1	2	2	1	2
109	dagstuhl-230	1,0	1	2	1	2	1	2	2	2
110	dagstuhl-230	1,3	1	2	1	2	1	2	2	2
111	dagstuhl-230	2,3	1	1	1	1	1	1	1	1
112	dagstuhl-231	0,2	2	1	2	1	2	1	1	1
113	dagstuhl-231	1,0	2	2	2	2	2	2	2	2
114	dagstuhl-231	1,3	0	2	0	2	0	2	2	2
115	dagstuhl-231	2,3	1	1	1	2	1	1	1	1
116	dagstuhl-24	0,2	2	2	2	2	2	2	2	2
117	dagstuhl-24	1,0	2	1	2	1	2	1	1	1
118	dagstuhl-24	1,3	0	1	0	1	0	1	1	1
119	dagstuhl-24	2,3	1	1	1	1	1	1	1	1
120	dagstuhl-247	0,1	0	1	0	0	0	1	0	1
121	dagstuhl-247	0,2	2	1	2	1	2	1	1	1
122	dagstuhl-247	1,3	2	2	1	2	2	2	2	2
123	dagstuhl-247	2,3	1	2	0	2	0	2	2	2
124	dagstuhl-248	0,1	2	1	2	1	2	1	1	1
125	dagstuhl-248	0,2	2	2	2	1	2	2	2	2
126	dagstuhl-248	1,3	0	2	1	2	0	2	2	2
127	dagstuhl-248	2,3	1	1	0	1	1	1	1	1
128	dagstuhl-249	0,1	0	1	0	1	0	1	1	1
129	dagstuhl-249	0,2	2	2	2	1	2	1	1	1
130	dagstuhl-249	1,3	0	1	0	2	0	2	1	1
131	dagstuhl-249	2,3	0	2	0	2	0	1	1	2
132	dagstuhl-25	0,2	2	2	2	2	2	2	2	2
133	dagstuhl-25	1,0	2	1	2	1	2	1	1	1
134	dagstuhl-25	1,3	0	1	0	1	0	1	1	1
135	dagstuhl-25	2,3	1	1	1	1	1	1	1	1
136	dagstuhl-250	0,1	0	1	0	1	0	2	1	1
137	dagstuhl-250	0,2	1	2	1	2	1	2	2	2
138	dagstuhl-250	1,3	0	1	0	1	0	1	1	1
139	dagstuhl-250	2,3	0	1	0	1	1	1	1	1
140	dagstuhl-251	0,2	2	1	2	1	2	1	1	1
141	dagstuhl-251	1,0	2	1	2	1	2	1	1	1
142	dagstuhl-251	1,3	0	1	0	1	0	1	1	1
143	dagstuhl-251	2,3	1	1	1	1	1	1	1	1
144	dagstuhl-27	0,2	2	2	2	2	2	2	2	2
145	dagstuhl-27	1,0	1	1	1	1	1	1	1	1
146	dagstuhl-27	1,3	1	1	1	1	1	1	1	1
147	dagstuhl-27	2,3	1	1	1	1	1	1	1	1
148	dagstuhl-28	0,2	2	2	2	2	2	2	2	2
149	dagstuhl-28	1,0	2	1	2	1	2	1	1	1
150	dagstuhl-28	1,3	1	1	1	1	1	1	1	1
151	dagstuhl-28	2,3	1	1	1	1	1	1	1	1
152	dagstuhl-40	0,2	1	1	1	1	2	1	1	1
153	dagstuhl-40	1,0	2	1	2	1	2	1	1	1
154	dagstuhl-40	1,3	1	1	1	1	1	1	1	1
155	dagstuhl-40	2,3	1	1	1	1	1	1	1	1
156	dagstuhl-43	0,2	1	1	1	1	1	1	1	1
157	dagstuhl-43	1,0	2	1	2	1	2	1	1	1
158	dagstuhl-43	1,3	0	1	0	1	0	1	1	1
159	dagstuhl-43	2,3	0	1	0	1	0	1	1	1
160	dagstuhl-46	0,1	1	1	1	1	1	1	1	1
161	dagstuhl-46	0,2	2	2	1	1	2	1	2	1
162	dagstuhl-46	1,3	1	1	1	1	1	1	1	1
163	dagstuhl-46	2,3	1	1	1	1	1	1	1	1
164	dagstuhl-47	0,1	1	1	1	1	1	1	1	1
165	dagstuhl-47	0,2	2	1	2	1	2	1	1	1
166	dagstuhl-47	1,3	0	2	0	2	0	2	2	2
167	dagstuhl-47	2,3	1	1	1	1	1	1	1	1
168	dagstuhl-49	0,1	1	1	1	1	1	1	1	1
169	dagstuhl-49	0,2	2	1	2	2	2	2	2	2
170	dagstuhl-49	1,3	1	1	1	1	1	1	1	1
171	dagstuhl-49	2,3	1	1	1	1	1	1	1	1
172	dagstuhl-5	0,2	2	2	2	1	2	2	1	1
173	dagstuhl-5	1,0	0	1	0	1	0	1	1	1
174	dagstuhl-5	1,3	0	1	0	1	0	1	1	1
175	dagstuhl-5	2,3	1	1	1	1	1	1	1	1
176	dagstuhl-56	0,1	1	1	1	1	1	1	1	1
177	dagstuhl-56	0,2	1	1	1	2	1	1	1	2
178	dagstuhl-56	1,3	1	2	1	2	1	2	2	2
179	dagstuhl-56	2,3	1	1	1	1	1	1	1	1
180	dagstuhl-59	0,2	2	2	2	2	2	2	2	2
181	dagstuhl-59	1,0	2	1	2	2	2	2	2	2
182	dagstuhl-59	1,3	0	2	0	2	1	2	2	2
183	dagstuhl-59	2,3	1	1	1	1	1	1	1	1
184	dagstuhl-60	0,2	1	2	1	2	2	2	2	2
185	dagstuhl-60	1,0	2	2	2	2	2	2	2	2
186	dagstuhl-60	1,3	1	2	2	2	1	2	2	2
187	dagstuhl-60	2,3	1	1	1	1	1	1	1	1
188	dagstuhl-61	0,2	2	2	2	2	2	2	2	2
189	dagstuhl-61	1,0	1	1	1	1	1	1	1	1
190	dagstuhl-61	1,3	1	1	1	1	1	1	1	1
191	dagstuhl-61	2,3	1	1	1	1	1	1	1	1
192	dagstuhl-66	0,1	1	1	1	1	1	1	1	1
193	dagstuhl-66	0,2	1	2	1	2	1	2	2	2
194	dagstuhl-66	1,3	2	1	2	1	2	2	1	2
195	dagstuhl-66	2,3	1	1	1	1	1	1	1	1
196	dagstuhl-96	0,1	2	1	2	1	2	1	2	1
197	dagstuhl-96	0,2	2	2	2	2	2	2	2	2
198	dagstuhl-96	1,3	1	1	1	1	1	1	1	1
199	dagstuhl-96	2,3	1	1	1	1	1	1	1	1
200	defabel-113	0,1	0	1	0	1	0	1	1	1
201	defabel-113	0,2	2	1	2	1	2	1	1	1
202	defabel-113	1,3	0	1	0	1	0	2	1	2
203	defabel-113	2,3	1	2	1	2	1	2	2	2
204	defabel-132	0,2	2	1	2	1	2	1	1	1
205	defabel-132	1,0	2	1	2	1	2	1	1	1
206	defabel-132	1,3	0	1	0	1	0	1	1	1
207	defabel-132	2,3	1	1	1	1	1	1	1	1
208	defabel-168	0,2	2	1	2	1	2	1	1	1
209	defabel-168	1,0	1	1	1	1	2	1	1	1
210	defabel-168	1,3	1	2	1	2	1	2	2	2
211	defabel-168	2,3	1	1	1	1	1	1	1	1
212	defabel-178	0,1	1	2	1	2	1	2	2	2
213	defabel-178	0,2	2	1	2	2	2	1	1	1
214	defabel-178	1,3	1	1	1	1	1	1	1	1
215	defabel-178	2,3	1	1	1	1	1	1	1	1
216	defabel-202	0,2	2	2	2	2	2	2	2	2
217	defabel-202	1,0	2	1	2	1	2	2	1	1
218	defabel-202	1,3	1	1	1	1	1	1	1	1
219	defabel-202	2,3	1	1	1	1	1	1	1	1
220	defabel-21	0,1	1	2	1	2	1	2	2	1
221	defabel-21	0,2	2	2	2	2	2	2	2	2
222	defabel-21	1,3	0	1	0	1	0	1	1	1
223	defabel-21	2,3	1	1	1	1	1	1	1	1
224	defabel-211	0,2	2	2	2	2	2	2	2	2
225	defabel-211	1,0	2	1	2	1	2	1	1	1
226	defabel-211	1,3	1	1	1	1	1	1	1	1
227	defabel-211	2,3	1	1	1	1	1	1	1	1
228	defabel-216	0,1	1	2	1	2	2	2	2	2
229	defabel-216	0,2	2	1	2	1	2	1	1	1
230	defabel-216	1,3	0	1	0	1	0	1	1	1
231	defabel-216	2,3	1	1	1	1	1	1	1	1
232	defabel-22	0,1	1	1	1	1	1	1	1	1
233	defabel-22	0,2	2	2	2	2	2	2	2	2
234	defabel-22	1,3	0	1	0	1	0	1	1	1
235	defabel-22	2,3	1	1	1	1	1	1	1	1
236	defabel-227	0,1	0	1	0	1	0	1	1	1
237	defabel-227	0,2	2	1	2	2	2	1	2	1
238	defabel-227	1,3	0	1	0	1	0	1	1	1
239	defabel-227	2,3	1	1	1	1	1	1	1	1
240	defabel-301	0,2	2	1	2	1	2	1	1	1
241	defabel-301	1,0	0	2	1	2	1	1	2	2
242	defabel-301	1,3	1	2	0	1	0	2	1	1
243	defabel-301	2,3	1	2	1	2	1	2	2	2
244	defabel-314	0,1	0	1	0	2	0	1	1	1
245	defabel-314	0,2	2	2	2	2	2	2	2	2
246	defabel-314	1,3	0	1	0	1	0	1	1	1
247	defabel-314	2,3	1	1	1	1	1	1	1	1
248	defabel-316	0,2	2	2	2	1	2	1	1	1
249	defabel-316	1,0	1	1	1	1	1	1	1	1
250	defabel-316	1,3	0	2	0	2	0	2	2	2
251	defabel-316	2,3	1	2	1	2	1	2	2	2
252	defabel-329	0,2	2	1	2	2	2	2	2	1
253	defabel-329	1,0	1	1	2	1	1	2	2	2
254	defabel-329	1,3	0	1	0	1	0	1	1	1
255	defabel-329	2,3	1	1	1	1	1	1	1	1
256	defabel-372	0,1	2	2	2	2	2	2	2	2
257	defabel-372	0,2	2	2	2	2	2	2	2	2
258	defabel-372	1,3	1	1	1	1	1	1	1	1
259	defabel-372	2,3	1	1	1	1	1	1	1	1
260	defabel-393	0,2	2	1	2	1	2	1	1	1
261	defabel-393	1,0	1	1	0	1	1	1	1	1
262	defabel-393	1,3	1	1	1	1	1	1	1	1
263	defabel-393	2,3	1	1	1	1	1	1	1	1
264	defabel-415	0,2	2	2	2	2	2	2	2	2
265	defabel-415	1,0	1	1	1	1	1	1	1	1
266	defabel-415	1,3	1	1	1	1	1	1	1	1
267	defabel-415	2,3	1	1	1	1	1	1	1	1
268	defabel-438	0,1	0	1	0	1	0	1	1	1
269	defabel-438	0,2	2	1	2	1	2	1	1	1
270	defabel-438	1,3	0	1	0	1	0	1	1	1
271	defabel-438	2,3	1	1	1	1	1	1	1	1
272	defabel-463	0,2	2	1	2	1	2	1	1	1
273	defabel-463	1,0	1	2	1	2	1	2	2	2
274	defabel-463	1,3	0	2	0	2	0	2	2	2
275	defabel-463	2,3	1	2	1	2	1	1	2	1
276	defabel-467	0,2	1	1	2	1	1	1	1	1
277	defabel-467	1,0	2	2	2	2	2	2	2	2
278	defabel-467	1,3	0	2	0	2	0	2	2	2
279	defabel-467	2,3	1	1	1	1	1	1	1	1
280	defabel-490	0,1	2	2	1	2	2	1	2	1
281	defabel-490	0,2	2	2	2	2	2	2	2	2
282	defabel-490	1,3	1	1	1	1	1	1	1	1
283	defabel-490	2,3	1	1	1	1	1	1	1	1
284	defabel-500	0,1	1	2	1	2	1	2	2	1
285	defabel-500	0,2	2	2	2	2	2	2	2	2
286	defabel-500	1,3	1	1	1	1	1	1	1	1
287	defabel-500	2,3	1	1	1	1	1	1	1	1
288	defabel-514	0,1	0	1	1	1	0	1	1	1
289	defabel-514	0,2	2	1	2	1	2	1	1	1
290	defabel-514	1,3	0	1	0	1	0	1	1	1
291	defabel-514	2,3	1	1	1	1	1	1	1	1
292	defabel-522	0,1	2	2	2	1	2	1	1	2
293	defabel-522	0,2	2	1	2	1	2	1	1	1
294	defabel-522	1,3	1	1	1	1	1	1	1	1
295	defabel-522	2,3	1	2	1	2	1	2	2	2
296	defabel-560	0,1	1	1	1	1	1	1	1	1
297	defabel-560	0,2	2	1	2	2	2	2	2	2
298	defabel-560	1,3	2	2	2	2	1	2	2	2
299	defabel-560	2,3	1	1	1	1	1	1	2	1
300	defabel-57	0,1	1	1	1	1	1	1	1	1
301	defabel-57	0,2	2	1	2	1	2	1	1	1
302	defabel-57	1,3	1	2	1	2	1	2	2	2
303	defabel-57	2,3	1	2	1	2	1	2	2	2
304	defabel-574	0,1	1	1	1	1	1	1	1	1
305	defabel-574	0,2	2	1	2	1	2	1	1	1
306	defabel-574	1,3	0	1	0	1	0	2	2	1
307	defabel-574	2,3	1	1	1	1	1	1	1	1
308	defabel-592	0,2	2	1	2	1	2	1	1	1
309	defabel-592	1,0	1	2	0	2	1	2	2	2
310	defabel-592	1,3	1	2	1	2	1	2	2	2
311	defabel-592	2,3	1	1	1	1	1	1	1	1
312	defabel-607	0,1	2	2	2	2	2	2	2	2
313	defabel-607	0,2	2	2	2	2	2	2	2	2
314	defabel-607	1,3	1	1	1	1	1	1	1	1
315	defabel-607	2,3	1	1	1	1	1	1	1	1
316	defabel-622	0,1	1	1	1	1	1	1	1	1
317	defabel-622	0,2	2	1	2	1	2	1	1	1
318	defabel-622	1,3	0	1	0	1	0	1	1	1
319	defabel-622	2,3	1	1	1	1	1	1	1	1
320	defabel-633	0,2	2	1	2	1	2	1	1	1
321	defabel-633	1,0	2	2	2	1	2	1	1	1
322	defabel-633	1,3	0	1	0	1	0	1	1	1
323	defabel-633	2,3	1	1	1	1	1	1	1	1
324	defabel-643	0,1	2	1	2	1	2	1	1	1
325	defabel-643	0,2	2	1	2	1	2	1	1	1
326	defabel-643	1,3	1	2	1	2	1	2	2	2
327	defabel-643	2,3	1	1	1	1	1	1	1	1
328	defabel-644	0,1	0	1	0	1	0	1	1	1
329	defabel-644	0,2	2	1	2	1	2	1	1	1
330	defabel-644	1,3	0	2	0	2	0	2	2	2
331	defabel-644	2,3	1	2	1	2	1	2	2	2
332	defabel-677	0,2	2	2	2	2	2	2	2	2
333	defabel-677	1,0	1	1	1	1	1	1	1	1
334	defabel-677	1,3	1	1	1	1	1	1	1	1
335	defabel-677	2,3	1	1	1	1	1	1	1	1
336	defabel-681	0,2	2	2	2	2	2	2	2	2
337	defabel-681	1,0	2	1	2	1	2	1	1	1
338	defabel-681	1,3	1	1	1	1	1	1	1	1
339	defabel-681	2,3	1	1	1	1	1	1	1	1
340	defabel-692	0,2	2	2	2	2	2	2	2	2
341	defabel-692	1,0	0	1	0	1	0	1	1	1
342	defabel-692	1,3	0	1	0	1	0	1	1	1
343	defabel-692	2,3	1	1	1	1	1	1	1	1
344	defabel-701	0,2	2	1	2	1	2	1	1	1
345	defabel-701	1,0	2	2	2	2	2	2	2	2
346	defabel-701	1,3	0	2	1	2	0	2	2	2
347	defabel-701	2,3	1	1	1	1	1	1	1	1
348	defabel-732	0,2	2	2	2	2	2	2	1	2
349	defabel-732	1,0	2	1	2	1	2	1	1	2
350	defabel-732	1,3	1	1	1	1	0	1	1	1
351	defabel-732	2,3	1	1	1	1	1	1	1	1
352	defabel-737	0,2	2	1	2	1	2	1	1	1
353	defabel-737	1,0	1	1	1	1	1	1	1	1
354	defabel-737	1,3	0	1	0	1	0	1	1	1
355	defabel-737	2,3	1	1	1	1	1	1	1	1
356	defabel-785	0,1	1	2	1	1	1	1	1	2
357	defabel-785	0,2	2	2	2	2	2	2	2	2
358	defabel-785	1,3	0	1	0	1	1	1	1	1
359	defabel-785	2,3	1	1	1	1	1	1	1	1
360	defabel-789	0,1	1	2	1	2	1	2	2	2
361	defabel-789	0,2	2	2	2	2	2	2	2	2
362	defabel-789	1,3	1	1	1	1	1	1	1	1
363	defabel-789	2,3	1	1	1	1	1	1	1	1
364	defabel-812	0,2	2	1	2	1	2	1	1	1
365	defabel-812	1,0	1	1	0	1	1	1	1	1
366	defabel-812	1,3	1	1	1	1	1	1	1	1
367	defabel-812	2,3	1	1	1	1	1	1	1	1
368	defabel-814	0,1	0	1	0	1	0	1	1	1
369	defabel-814	0,2	2	1	2	1	2	1	1	1
370	defabel-814	1,3	2	2	1	2	1	2	2	2
371	defabel-814	2,3	1	1	1	2	1	1	2	1
372	defabel-835	0,1	1	1	1	1	1	1	1	1
373	defabel-835	0,2	2	1	2	1	2	1	1	1
374	defabel-835	1,3	1	2	2	2	2	2	2	2
375	defabel-835	2,3	1	1	1	2	1	2	2	2
376	defabel-839	0,1	1	1	1	1	1	1	1	1
377	defabel-839	0,2	2	1	2	1	2	1	1	1
378	defabel-839	1,3	0	2	0	2	0	2	2	2
379	defabel-839	2,3	1	2	1	2	1	2	2	2
380	defabel-85	0,1	1	1	1	1	1	1	1	1
381	defabel-85	0,2	2	1	2	1	2	1	1	1
382	defabel-85	1,3	1	1	1	1	1	1	2	1
383	defabel-85	2,3	1	2	1	2	1	2	2	2
384	defabel-852	0,1	0	1	0	1	0	1	1	1
385	defabel-852	0,2	2	1	2	1	2	1	1	1
386	defabel-852	1,3	2	2	2	2	2	2	2	2
387	defabel-852	2,3	1	2	1	2	1	2	2	2
388	defabel-856	0,1	0	1	0	1	1	1	1	1
389	defabel-856	0,2	2	1	2	1	2	1	1	1
390	defabel-856	1,3	0	2	0	2	0	2	2	2
391	defabel-856	2,3	1	2	1	2	1	2	2	2
392	defabel-888	0,1	0	1	0	1	1	1	1	1
393	defabel-888	0,2	2	1	2	1	2	1	1	1
394	defabel-888	1,3	0	2	0	2	0	2	2	2
395	defabel-888	2,3	1	1	1	1	1	1	1	1
396	defabel-901	0,2	2	2	1	2	1	1	2	2
397	defabel-901	1,0	2	1	2	1	2	1	1	1
398	defabel-901	1,3	0	1	1	1	0	1	1	1
399	defabel-901	2,3	1	1	1	1	1	1	1	1
400	deuparl-105	0,1	1	1	1	1	1	1	1	1
401	deuparl-105	0,2	1	1	1	1	1	1	2	2
402	deuparl-105	1,3	1	1	1	1	1	1	1	1
403	deuparl-105	2,3	1	1	1	1	1	1	1	1
404	deuparl-114	0,2	1	1	1	1	1	1	1	1
405	deuparl-114	1,0	2	1	2	1	2	1	1	1
406	deuparl-114	1,3	1	1	1	1	1	1	1	1
407	deuparl-114	2,3	1	1	1	1	1	1	1	1
408	deuparl-123	0,2	1	1	1	1	1	1	1	1
409	deuparl-123	1,0	2	1	2	1	2	1	1	2
410	deuparl-123	1,3	2	1	2	1	2	1	1	1
411	deuparl-123	2,3	1	1	1	1	1	1	1	1
412	deuparl-1430	0,2	1	1	1	1	1	1	1	1
413	deuparl-1430	1,0	2	1	2	1	2	1	1	1
414	deuparl-1430	1,3	1	1	1	1	1	1	1	1
415	deuparl-1430	2,3	1	1	1	1	1	1	1	1
416	deuparl-155	0,1	1	1	1	1	1	1	1	1
417	deuparl-155	0,2	1	1	1	1	1	1	1	1
418	deuparl-155	1,3	1	1	1	1	1	1	1	1
419	deuparl-155	2,3	1	1	1	1	1	1	1	1
420	deuparl-1604	0,1	1	1	1	1	1	1	1	1
421	deuparl-1604	0,2	1	1	1	1	1	1	1	1
422	deuparl-1604	1,3	2	1	2	1	2	1	1	1
423	deuparl-1604	2,3	1	1	1	1	1	1	1	1
424	deuparl-161	0,1	1	1	1	1	1	1	1	1
425	deuparl-161	0,2	2	2	2	2	2	2	2	2
426	deuparl-161	1,3	1	1	1	1	1	1	1	1
427	deuparl-161	2,3	1	1	1	1	1	1	1	1
428	deuparl-168	0,1	2	1	2	1	2	1	1	1
429	deuparl-168	0,2	1	1	1	1	1	1	1	1
430	deuparl-168	1,3	1	1	1	1	1	1	1	1
431	deuparl-168	2,3	1	1	1	1	1	1	1	1
432	deuparl-17	0,2	2	1	2	1	2	1	1	1
433	deuparl-17	1,0	1	1	1	1	1	1	1	1
434	deuparl-17	1,3	1	1	1	1	1	1	1	1
435	deuparl-17	2,3	1	1	1	1	1	1	1	1
436	deuparl-182	0,1	1	1	1	1	1	1	1	1
437	deuparl-182	0,2	2	1	2	1	2	1	1	1
438	deuparl-182	1,3	1	2	1	2	1	2	1	1
439	deuparl-182	2,3	1	1	1	1	1	1	1	1
440	deuparl-187	0,1	2	1	2	1	2	1	1	1
441	deuparl-187	0,2	2	1	2	1	2	1	1	1
442	deuparl-187	1,3	1	2	1	1	1	1	1	2
443	deuparl-187	2,3	1	1	1	1	1	1	1	1
444	deuparl-188	0,1	1	1	1	1	2	1	1	1
445	deuparl-188	0,2	2	1	2	1	2	1	2	1
446	deuparl-188	1,3	1	1	1	1	1	1	1	1
447	deuparl-188	2,3	1	1	1	1	1	1	1	1
448	deuparl-194	0,1	1	1	2	1	1	1	1	1
449	deuparl-194	0,2	2	1	2	1	2	1	1	1
450	deuparl-194	1,3	1	1	1	1	1	1	1	1
451	deuparl-194	2,3	1	1	1	1	1	1	1	1
452	deuparl-2064	0,1	2	1	1	1	2	1	1	1
453	deuparl-2064	0,2	2	1	2	2	2	1	1	2
454	deuparl-2064	1,3	1	1	1	1	1	1	1	1
455	deuparl-2064	2,3	1	1	1	1	1	1	1	1
456	deuparl-2181	0,1	1	1	1	1	1	1	1	1
457	deuparl-2181	0,2	2	1	1	1	2	1	1	1
458	deuparl-2181	1,3	2	1	2	1	2	1	1	1
459	deuparl-2181	2,3	1	1	1	1	1	1	1	1
460	deuparl-2183	0,1	2	1	1	1	1	2	1	2
461	deuparl-2183	0,2	2	1	2	1	2	1	1	1
462	deuparl-2183	1,3	1	1	1	1	1	1	1	1
463	deuparl-2183	2,3	1	1	1	1	1	1	1	1
464	deuparl-2187	0,2	1	1	1	1	1	1	1	1
465	deuparl-2187	1,0	2	1	2	1	2	1	1	1
466	deuparl-2187	1,3	1	1	1	1	1	1	1	1
467	deuparl-2187	2,3	2	1	2	1	2	1	1	1
468	deuparl-2202	0,2	1	1	2	1	1	1	1	1
469	deuparl-2202	1,0	2	1	2	1	2	1	1	1
470	deuparl-2202	1,3	2	1	2	1	2	1	1	1
